compound_ID,SMILES,enzyme_uniprot,enzyme,enzyme_type,rep1,rep2,both_less_05
BRD-K01825699,C[C@@H](O)[C@@H](NC(=O)[C@H](C)[C@@H](O)[C@H](C)NC(=O)[C@@H](NC(=O)c1nc(nc(c1C)N)[C@H](CC(=O)N)NC[C@@H](N)C(=O)N)[C@@H](O[C@H]1O[C@H](CO)[C@H](O)[C@@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](OC(=O)N)[C@@H]1O)c1cnc[nH]1)C(=O)NCCc1nc(cs1)-c1nc(cs1)C(=O)NCCC[S+](C)C ,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,0,0.09874541,1
BRD-K22662557,CCCC[P+](CCCC)(CCCC)Cc1ccc(cc1)NC(=O)[C@H](Cc1ccc2ccccc2c1)N/C(=N/C1CCCCC1)NC1CCCCC1,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,0,0.013922889,1
BRD-K73425385,NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O)[C@H](N)[C@@H](O)[C@@H]1O,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,0.476934642,0.153549572,1
BRD-K01825574,CON=C(C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)CSC1=NC(=O)C(=NN1C)O)c1csc(n1)N,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,0.423168223,1.021354303,0
BRD-K52735702,Nc1nc(cs1)/C(=N\O)C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)C=C,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,0,0.107343941,1
BRD-K47832606,OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(F)C(=O)NC1=O,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,0.947711549,0.199479804,0
BRD-K08205503,CO/N=C(\C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)C[N+]1(C)CCCC1)c1csc(n1)N,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,0.353655642,0.213892289,1
BRD-K92544108,CN1N=CN=C2C(=O)N(C)C(=O)N=C12,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,0.521820117,0.225,0
BRD-K82960980,CO/N=C(\C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)CSC(=O)c1ccco1)c1csc(n1)N,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,0,0.002600979,1
BRD-K10836013,N[C@@H]1CN(CC21CC2)c1c(cc2c(c1Cl)N(C=C(C(=O)O)C2=O)[C@@H]1C[C@@H]1F)F,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,0,0.372987882,1
BRD-K49668410,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O)OC,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,1.043850016,0.249388005,0
BRD-K85146014,OC(=O)P(=O)(O)O,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,0,0.209455324,1
BRD-K00003588,C[C@@H](O)[C@@H](NC(=O)[C@H](C)[C@@H](O)[C@H](C)NC(=O)[C@@H](NC(=O)c1nc(nc(c1C)N)[C@H](CC(=O)N)NC[C@@H](N)C(=O)N)[C@@H](O[C@H]1O[C@H](CO)[C@H](O)[C@@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](OC(=O)N)[C@@H]1O)c1c[nH]cn1)C(=O)NCCc1nc(cs1)-c1nc(cs1)C(=O)NCCC[S+](C)C ,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,0,0.090238678,1
BRD-K00003240,CN(C)[C@H]1[C@@H]2C[C@@H]3Cc4c(cc(c(c4C(=O)[C@H]3C(=O)[C@]2(O)C(=O)[C@H](C(=O)N)C1=O)O)NC(=O)CN1CCCC1)F,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,0,0.097154223,1
BRD-K33457401; BRONOPOL,OCC(Br)(CO)[N+](=O)[O-],"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,0,0.216462668,1
BRD-K32972113,OCCN(CCO)c1ccc(c2no[n+](c12)[O-])[N+](=O)[O-],"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,1.347427047,1.096783811,0
BRD-K00003117,Nc1nc(ns1)/C(=N/O)C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)/C=C/1\CCN([C@@H]2CCNC2)C1=O,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,0.407342934,0.151346389,1
BRD-K22442616,ONC(=O)c1cn(nn1)-c1cccc(c1)C(=O)N1CCC2(CC1)N(CNC2=O)c1ccccc1,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,0,0,1
BRD-K27798832,CO/N=C(\C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)C)c1csc(n1)N,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,0.949175093,0.279797432,0
BRD-K35932154,CN1SC=CC1=O,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,0,0.873821284,0
BRD-K00003353,CN(C)[C@H]1[C@@H]2C[C@H]3[C@H](C(=O)c4c(ccc(c4[C@@]3(C)O)Cl)O)C(=O)[C@]2(O)C(=O)[C@H](C(=O)N)C1=O,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,0.796567323,0.584193983,0
BRD-K23677682,CN[C@H]1CN(C[C@@H]1OC)c1ccc2c(n1)N(C=C(C(=O)O)C2=O)c1nccs1,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,0.441248615,0.064718482,1
BRD-K00025625,C[C@@H]1[C@H]2[C@H](O)[C@H]3[C@H](N(C)C)C(=O)[C@H](C(=O)N)C(=O)[C@@]3(O)C(=C2C(=O)c2c(cccc21)O)O,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,1.024160653,0.540076336,0
BRD-K88043978,NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,0.23015873,0.225581395,1
BRD-K70366318,COC1=C(N)C(=O)c2nc(ccc2C1=O)-c1nc(c(c(c1N)-c1ccc(c(c1O)OC)OC)C)C(=O)O,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,0.370588701,0.851145038,0
BRD-K99750640,Cc1nnc(s1)SCC1=C(N2[C@H](SC1)[C@H](NC(=O)Cn1cnnn1)C2=O)C(=O)O,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,1.022552557,0.414903237,0
BRD-K80694030,CCCC[P+](CCCC)(CCCC)Cc1ccc(cc1)NC(=O)[C@@H](Cc1ccc2ccccc2c1)N=C(NC1CCCCC1)NC1CCCCC1,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,0,0.073623011,1
BRD-K85490921,CON=C(C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)OCOC(=O)C(C)(C)C)C=Cc1scnc1C)c1csc(n1)N,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,0.758249069,0.486570808,0
BRD-K00494077,N[C@@H]1[C@H]2CN(C[C@@H]12)c1nc2c(cc1F)C(=O)C(=CN2c1ccc(cc1F)F)C(=O)O,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,0,0.141676867,1
BRD-K92872987,CC1=CC(=O)C(=CN1)C(=O)N[C@@H](C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)CSc1nnnn1C)c1ccc(cc1)O,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,0.734832358,0.78390211,0
BRD-K02558072,COC(=O)N/N=C/c1ccc(o1)[N+](=O)[O-],"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,1.018865704,0.464505336,0
BRD-K80622725,CN1N=C(C)N=C2C(=O)N(C)C(=O)N=C12,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,0.635444385,0.360327365,0
BRD-K05619559,NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O)[C@H](N)C[C@@H]1O,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,1.030789143,0.772900763,0
BRD-K00003130,NC[C@H]1O[B](O)c2c(cccc21)OCCCO,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,1.066677126,0.612370903,0
BRD-K53123955,[O-][N+](=O)c1cnc(s1)N1CCNC1=O,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,1.068873549,0.298200398,0
BRD-K01825576,CN(C)[C@H]1[C@@H]2C[C@H]3C(=C(O)[C@]2(O)C(=C(C(=O)N)C1=O)O)C(=O)c1c(cccc1[C@]3(C)O)O,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,0.975385844,1.323631349,0
BRD-A08641215,CC[C@@H](C)CCCCC(=O)N[C@@H](CCN)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CCN)C(=O)N[C@H]1CCNC(=O)[C@@H](NC(=O)[C@H](CCN)NC(=O)[C@H](CCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@@H](CCN)NC1=O)[C@@H](C)O ,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,1.926459052,1.397607424,0
BRD-K79092138,NC(=O)N/N=C/c1ccc(o1)[N+](=O)[O-],"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,1.032083464,0.350831977,0
BRD-K46970505,CO/N=C(\C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)C[n+]1ccn2ncccc12)c1nsc(n1)N,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,1.024239096,0.326596129,0
BRD-K52117081,CC(C)(O/N=C(\C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)C[n+]1ccccc1)c1csc(n1)N)C(=O)O,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,1.058165987,0.26555435,0
BRD-K00003661,CO/N=C(\C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)CSc1nnnn1C)c1csc(n1)N,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,1.06165673,1.104460925,0
BRD-K11905747,CN[C@@H]1[C@H](O)[C@H](NC)[C@H]2O[C@]3(O)[C@@H](O[C@H](C)CC3=O)O[C@@H]2[C@H]1O,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,1.079541889,0.572968119,0
BRD-K56735750,COC(=O)N/N=C/c1c[n+](c2ccccc2[n+]1[O-])[O-],"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,0.851117616,0.959250112,0
BRD-K00003257,CC(C)(O/N=C(\C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)C[N+]1(CCCC1)CCNC(=O)c1ccc(c(c1Cl)O)O)c1csc(n1)N)C(=O)O,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,0.477092894,0.324968349,1
BRD-K71059170,Nc1nc(cs1)/C(=N/OCC(=O)O)C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)C=C,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,0.380123437,0.261123169,1
BRD-K72903603,CC1=CN([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)C(=O)NC1=O,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,0.866152209,0.174265606,0
BRD-K63550407,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,0.755588079,0.43954603,0
BRD-K46982791,Oc1ccc(c2cccnc12)Cl,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,0.644358701,0.064412485,0
BRD-K51677086,CCOC(=O)CCC(=O)O[C@H]1[C@@H](O[C@H](C)C[C@@H]1N(C)C)O[C@@H]1[C@@H](C)[C@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@@H](C)C(=O)O[C@H](CC)[C@@](C)(O)[C@H](O)[C@@H](C)C(=O)[C@H](C)C[C@@]1(C)O,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,0.901410325,0.469388678,0
BRD-K74501079,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,0.847658329,0.367335865,0
BRD-K00003346,CN(C)[C@H]1[C@@H]2C[C@@H]3Cc4c(ccc(c4C(=O)[C@@H]3C(=O)[C@]2(O)C(=O)[C@H](C(=O)N)C1=O)O)N(C)C,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,0.827700905,0.444565021,0
BRD-A41020680,CN(C)[C@@H]1[C@H]2C[C@H]3Cc4c(ccc(c4C(=O)[C@@H]3C(=O)[C@@]2(O)C(=C(C(=O)N)C1=O)O)O)N(C)C,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,0,0.012913097,1
BRD-K66412701,C[C@H]1COc2c3c(cc(c2C2(N)CC2)F)C(=O)C(=CN13)C(=O)O,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,0,0.071144431,1
BRD-A20863183,CO[C@@H]1[C@@H](OC(=O)c2ccc([nH]2)C)[C@@H](O)[C@H](CC1(C)C)Oc1ccc2c(c1C)OC(=O)[C@@H](C2)NC(=O)c1[nH]cc(c1C)CC(=O)NC1=Cc2ccc(c(c2OC1=O)C)O[C@@H]1OC(C)(C)[C@H](OC)[C@@H](OC(=O)c2ccc([nH]2)C)[C@H]1O ,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,0,0.329309097,1
BRD-A48237631,CO[C@]12[C@@H]3N[C@@H]3CN2C2=C([C@@H]1COC(=O)N)C(=O)C(=C(C)C2=O)N ,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,0.962213944,1.530801625,0
BRD-K37908742,CN1C(=O)[C@@]23CC4=CC=C[C@H](O)[C@H]4N3C(=O)[C@@]1(CO)SS2,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,0.589143161,0.748989672,0
BRD-K73629461,CC(=O)ON1C=C(F)C(=O)NC1=O,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,1.013492313,0.259224091,0
BRD-K00003569,CN(C)[C@H]1[C@@H]2C[C@@H]3Cc4c(cc(c(c4C(=O)[C@H]3C(=O)[C@]2(O)C(=O)[C@@H](C(=O)N)C1=O)O)CNCC(C)(C)C)N(C)C,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,0.259297357,0.252306023,1
BRD-K00004533,C[C@@H](O)[C@H](NC(=O)[C@@H](C)[C@H](O)[C@@H](C)NC(=O)[C@@H](NC(=O)c1nc(nc(c1C)N)[C@H](CC(=O)N)NC[C@H](N)C(=O)N)[C@@H](O[C@@H]1O[C@@H](CO)[C@@H](O)[C@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](OC(=O)N)[C@@H]1O)c1c[nH]cn1)C(=O)NCCc1nc(cs1)-c1nc(cs1)C(=O)NCCCNCCCCN ,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,0,0.094828641,1
BRD-K00003362,COC1=C(OC)C(=O)C(=C(C)C1=O)CCCCCCCCCC[P+](c1ccccc1)(c1ccccc1)c1ccccc1,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,0,0,1
BRD-K00003351,CN(C)[C@H]1[C@@H]2[C@@H](O)[C@H]3[C@H](C(=O)c4c(cccc4C3=C)O)C(=O)[C@]2(O)C(=O)[C@@H](C(=O)N)C1=O,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,0.758515168,0.350334599,0
BRD-K47079459,CCCCCCCCCCCCCCCC[N+](C)(C)C,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,1.106251961,0.159761322,0
BRD-K00003142,N[C@@H]1CC[C@@H](c2ccc(c(c2)Cl)Cl)c2ccccc21,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,0.511176158,0.251446916,0
BRD-K36990484,CCN1C=C(C(=O)O)C(=O)c2cc(c(cc21)N1CCN(CC1)C(=S)Nc1cc(ccc1Cl)C(F)(F)F)F,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,0,0.070379437,1
BRD-K00004708,NCCONC(=O)[C@@H]1CC[C@@H]2CN1C(=O)N2OS(=O)(=O)O,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,1.036084092,0.555231253,0
BRD-K60663764,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)N3CCNC3=O)c3ccccc3)C(=O)N2[C@H]1C(=O)O,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,0.542575838,1.045317333,0
BRD-K97348307,OC(=O)C1=C(O)C2=C(CCCC2)NC1=O,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,0.420754866,0.327862181,1
BRD-K00004694,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)OCOC(=O)[C@@H]1N2[C@@H](CC2=O)S(=O)(=O)C1(C)C,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,1.007491371,0.649416255,0
BRD-M15413738,CN[C@H]1[C@H](O)[C@@H](O)[C@H](CO)O[C@H]1O[C@H]1[C@@H](O[C@@H](C)[C@]1(O)CO)O[C@@H]1[C@@H](O)[C@H](O)[C@@H](NC(=N)N)[C@H](O)[C@H]1NC(=N)N.CN[C@H]1[C@H](O)[C@@H](O)[C@H](CO)O[C@H]1O[C@H]1[C@@H](O[C@@H](C)[C@]1(O)CO)O[C@@H]1[C@@H](O)[C@H](O)[C@@H](NC(=N)N)[C@H](O)[C@H]1NC(=N)N ,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,0.780601384,0.273105444,0
BRD-K00003370,OC[C@H]1CN(C(=O)O1)c1ccc(c(c1)F)OCC1(O)CCN(CC1)c1cc2c(cc1F)C(=O)C(=CN2C1CC1)C(=O)O,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,0,0.084210526,1
BRD-K00003489,CCCN1C[C@H](C)[C@@H](O)[C@](C)(O)[C@@H](CC)OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@H]1C,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,1.029337935,0.498869597,0
BRD-K00003215,CC(C)[C@@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@H]4C[C@H](CC[C@]4(C)[C@H]3CC[C@]12C)NCCCNCCCCN)OS(=O)(=O)O,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,1.180263571,1.268289047,0
BRD-K00004538,CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@@H](CC=O)C[C@@H](C)C(=O)/C=C/[C@]2(C)O[C@H]2[C@@H]1C,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,1.011256668,0.551638976,0
BRD-K00003300,NCCCC[C@H](N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](C(c1ccccc1)c1ccccc1)C(=O)N[C@@H](CCCCN)C(=O)N ,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,0,0.061658507,1
BRD-K00003124,CC(C)[C@@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@H]4C[C@H](CC[C@]4(C)[C@H]3CC[C@]12C)NCCCNCCCCNCCCN)OS(=O)(=O)O,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,1.316481017,1.036298588,0
BRD-A40787240,CO/N=C/1\CN(C[C@@H]1CN)c1nc2c(cc1F)C(=O)C(=CN2C1CC1)C(=O)O,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,0,0.183231334,1
BRD-K87700323,CCCCCCCCCCCCCCCC[n+]1ccccc1,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,1.209209288,1.129541982,0
BRD-K01824995,O=C1OC(=O)[C@H]2[C@H]3CC[C@@H](O3)[C@H]21,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,1.093465642,0.635271666,0
BRD-K03063480,Cn1cc(cn1)-c1[nH]c2cc(cc3c2c1C=NNC3=O)NC(=O)[C@H](N)C1CCCCC1,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,0,0.024724602,1
BRD-K00003344,NC(=O)[C@@H]1C(=O)C[C@@H]2C[C@@H]3Cc4cccc(c4C(=O)[C@@H]3C(=O)[C@]2(O)C1=O)O,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,0.893028206,1.152051578,0
BRD-K38684403,CC[C@@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)/C(=N\OCOCCOC)[C@H](C)[C@@H](O)[C@]1(C)O,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,1.036084092,0.327455236,0
BRD-K15262564,C[C@H](O)[C@H](C)[C@@H]1O[C@H]1C[C@H]1CO[C@@H](C/C(=C/C(=O)OCCCCCCCCC(=O)O)C)[C@H](O)[C@@H]1O,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,1.020826796,0.676919623,0
BRD-K01825158,N[C@H]1CCN(C1)c1nc2c(cc1F)C(=O)C(=CN2c1ccc(cc1F)F)C(=O)O,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,0,0.412371134,1
BRD-K00002625,CC[C@H](C)C[C@H](C)CCCCCCCCC(=O)N[C@H]1C[C@@H](O)[C@@H](NCCN)NC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC1=O)[C@@H](C)O)[C@H](O)[C@@H](O)c1ccc(cc1)O)[C@H](O)CCN ,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,0.083694084,0.178212974,1
BRD-K00003352,CN(C)[C@H]1[C@@H]2C[C@H]3[C@@H](C(=O)c4c(cccc4[C@@]3(C)O)O)C(=O)[C@]2(O)C(=O)[C@@H](C(=O)N)C1=O,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,0.670835551,1.110349197,0
BRD-A69651145,CN(C)[C@H]1[C@@H]2C[C@@H]3Cc4c(ccc(c4C(=O)[C@@H]3C(=O)[C@]2(O)C(=C(C(=O)N)C1=O)O)O)N(C)C,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,0.8422033,0.466947007,0
BRD-K85882401,NC(=O)[C@@H]1CC[C@@H]2CN1C(=O)N2OS(=O)(=O)O,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,0.956758914,0.585204311,0
BRD-K24844714,FC1=CNC(=O)NC1=O,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,1.003647631,0.455462109,0
